<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si,D,20230120,000000,69305.0000000,69589.0000000,69020.0000000,69461.0000000,784394
SPFB.Si,D,20230123,000000,69498.0000000,69945.0000000,68921.0000000,69799.0000000,967899
SPFB.Si,D,20230124,000000,69790.0000000,69791.0000000,69364.0000000,69570.0000000,658238
SPFB.Si,D,20230125,000000,69570.0000000,69987.0000000,69421.0000000,69857.0000000,767748
SPFB.Si,D,20230126,000000,69857.0000000,70266.0000000,69276.0000000,69670.0000000,1189573
SPFB.Si,D,20230127,000000,69675.0000000,70175.0000000,69649.0000000,70050.0000000,821428
SPFB.Si,D,20230130,000000,70069.0000000,71320.0000000,69911.0000000,71304.0000000,898051
SPFB.Si,D,20230131,000000,71314.0000000,71525.0000000,70555.0000000,70597.0000000,1274234
SPFB.Si,D,20230201,000000,70599.0000000,71103.0000000,70505.0000000,70610.0000000,781263
SPFB.Si,D,20230202,000000,70620.0000000,71293.0000000,70383.0000000,70973.0000000,849914
SPFB.Si,D,20230203,000000,70974.0000000,71563.0000000,70907.0000000,71312.0000000,916534
SPFB.Si,D,20230206,000000,71340.0000000,71834.0000000,71001.0000000,71796.0000000,638451
SPFB.Si,D,20230207,000000,71785.0000000,71909.0000000,71338.0000000,71450.0000000,723791
SPFB.Si,D,20230208,000000,71466.0000000,72778.0000000,71466.0000000,72750.0000000,1147927
SPFB.Si,D,20230209,000000,72770.0000000,73485.0000000,72703.0000000,72950.0000000,1311020
SPFB.Si,D,20230210,000000,72925.0000000,73340.0000000,72327.0000000,72799.0000000,1294437
SPFB.Si,D,20230213,000000,72821.0000000,73400.0000000,72776.0000000,73094.0000000,1027257
SPFB.Si,D,20230214,000000,73119.0000000,73467.0000000,72077.0000000,72850.0000000,1276179
SPFB.Si,D,20230215,000000,72891.0000000,73716.0000000,72824.0000000,73510.0000000,1221564
SPFB.Si,D,20230216,000000,73510.0000000,74674.0000000,73433.0000000,74200.0000000,1471773
SPFB.Si,D,20230217,000000,74200.0000000,74567.0000000,73050.0000000,73118.0000000,2143419
SPFB.Si,D,20230220,000000,73075.0000000,74328.0000000,72560.0000000,74221.0000000,1274366
SPFB.Si,D,20230221,000000,74212.0000000,74459.0000000,73400.0000000,74181.0000000,1147529
SPFB.Si,D,20230222,000000,74181.0000000,74777.0000000,73686.0000000,74636.0000000,921377
SPFB.Si,D,20230224,000000,74648.0000000,75784.0000000,73973.0000000,75576.0000000,1068293
SPFB.Si,D,20230227,000000,75525.0000000,75525.0000000,73511.0000000,73626.0000000,1396546
SPFB.Si,D,20230228,000000,73610.0000000,74364.0000000,73161.0000000,74226.0000000,1337125
SPFB.Si,D,20230301,000000,74243.0000000,74810.0000000,74119.0000000,74690.0000000,1194562
SPFB.Si,D,20230302,000000,74728.0000000,75414.0000000,74728.0000000,75093.0000000,911429
SPFB.Si,D,20230303,000000,75094.0000000,75380.0000000,74614.0000000,75209.0000000,878501
SPFB.Si,D,20230306,000000,75220.0000000,75635.0000000,74731.0000000,75084.0000000,1038241
SPFB.Si,D,20230307,000000,75084.0000000,75990.0000000,74808.0000000,75830.0000000,888399
SPFB.Si,D,20230309,000000,75831.0000000,75902.0000000,75451.0000000,75720.0000000,787038
SPFB.Si,D,20230310,000000,75711.0000000,76098.0000000,75711.0000000,76000.0000000,771027
SPFB.Si,D,20230313,000000,75998.0000000,75998.0000000,74772.0000000,74860.0000000,1489886
SPFB.Si,D,20230314,000000,74868.0000000,75560.0000000,74868.0000000,75467.0000000,877735
SPFB.Si,D,20230315,000000,75156.0000000,75844.0000000,75030.0000000,75700.0000000,568509
SPFB.Si,D,20230316,000000,75749.0000000,76629.0000000,75177.0000000,76340.0000000,1816382
SPFB.Si,D,20230317,000000,76330.0000000,76963.0000000,75965.0000000,76787.0000000,1622152
SPFB.Si,D,20230320,000000,76763.0000000,77633.0000000,76520.0000000,77090.0000000,1221472
SPFB.Si,D,20230321,000000,77097.0000000,77438.0000000,76624.0000000,76691.0000000,794417
SPFB.Si,D,20230322,000000,76705.0000000,77503.0000000,76600.0000000,77319.0000000,855766
SPFB.Si,D,20230323,000000,77317.0000000,77317.0000000,75757.0000000,76110.0000000,1250036
SPFB.Si,D,20230324,000000,76120.0000000,77147.0000000,75900.0000000,76961.0000000,1278056
SPFB.Si,D,20230327,000000,76923.0000000,76998.0000000,76457.0000000,76604.0000000,785538
SPFB.Si,D,20230328,000000,76600.0000000,77286.0000000,76370.0000000,77099.0000000,723013
SPFB.Si,D,20230329,000000,77096.0000000,77417.0000000,76963.0000000,77327.0000000,566265
SPFB.Si,D,20230330,000000,77326.0000000,77567.0000000,76853.0000000,77375.0000000,1080348
SPFB.Si,D,20230331,000000,77370.0000000,78235.0000000,77293.0000000,77806.0000000,883275
SPFB.Si,D,20230403,000000,77808.0000000,78989.0000000,77448.0000000,78850.0000000,834545
SPFB.Si,D,20230404,000000,78860.0000000,79777.0000000,78860.0000000,79688.0000000,970056
SPFB.Si,D,20230405,000000,79658.0000000,80171.0000000,79407.0000000,80150.0000000,770103
SPFB.Si,D,20230406,000000,80150.0000000,81790.0000000,80112.0000000,81720.0000000,1128114
SPFB.Si,D,20230407,000000,81727.0000000,83172.0000000,80520.0000000,81017.0000000,2427761
SPFB.Si,D,20230410,000000,81025.0000000,81745.0000000,80613.0000000,81395.0000000,1700100
SPFB.Si,D,20230411,000000,81395.0000000,82450.0000000,81210.0000000,82150.0000000,944263
SPFB.Si,D,20230412,000000,82153.0000000,82337.0000000,81331.0000000,81553.0000000,722188
SPFB.Si,D,20230413,000000,81595.0000000,81825.0000000,80831.0000000,81446.0000000,948160
SPFB.Si,D,20230414,000000,81415.0000000,81470.0000000,80831.0000000,81239.0000000,826961
