datetime	open	high	low	close	volume	offer	ask	open_interest
2023-06-23 19:22:00	83852.0	83867.0	83852.0	83853.0	145.0	8990.0	15510.0	4491258.0
2023-06-23 19:23:00	83852.0	83866.0	83850.0	83853.0	103.0	8999.0	15449.0	4491118.0
2023-06-23 19:24:00	83851.0	83855.0	83850.0	83851.0	76.0	9067.0	16510.0	4491008.0
2023-06-23 19:25:00	83850.0	83851.0	83850.0	83850.0	12.0	9138.0	16578.0	4490996.0
2023-06-23 19:26:00	83850.0	83850.0	83834.0	83835.0	150.0	9253.0	16614.0	4490986.0
2023-06-23 19:27:00	83835.0	83840.0	83830.0	83835.0	49.0	9255.0	16607.0	4490990.0
2023-06-23 19:28:00	83835.0	83848.0	83835.0	83844.0	68.0	9259.0	16652.0	4490900.0
2023-06-23 19:29:00	83844.0	83847.0	83840.0	83841.0	31.0	9298.0	16646.0	4490890.0
2023-06-23 19:30:00	83840.0	83840.0	83832.0	83834.0	31.0	9364.0	16659.0	4490858.0
2023-06-23 19:31:00	83833.0	83835.0	83832.0	83835.0	16.0	9473.0	16708.0	4490880.0
2023-06-23 19:32:00	83832.0	83865.0	83829.0	83852.0	349.0	9358.0	16777.0	4490360.0
2023-06-23 19:33:00	83852.0	83852.0	83841.0	83841.0	11.0	9615.0	16834.0	4490360.0
2023-06-23 19:36:00	83845.0	83845.0	83841.0	83842.0	7.0	9508.0	17145.0	4490352.0
2023-06-23 19:37:00	83840.0	83843.0	83837.0	83837.0	65.0	9520.0	17398.0	4490312.0
2023-06-23 19:38:00	83841.0	83841.0	83835.0	83836.0	9.0	9626.0	17423.0	4490304.0
2023-06-23 19:39:00	83837.0	83837.0	83809.0	83818.0	386.0	9485.0	17307.0	4490072.0
2023-06-23 19:40:00	83818.0	83821.0	83811.0	83811.0	25.0	9792.0	17730.0	4490098.0
2023-06-23 19:41:00	83813.0	83815.0	83809.0	83815.0	23.0	9685.0	18773.0	4490100.0
2023-06-23 19:42:00	83816.0	83834.0	83816.0	83834.0	87.0	9536.0	18824.0	4490062.0
2023-06-23 19:43:00	83833.0	83836.0	83827.0	83836.0	25.0	9517.0	18834.0	4490066.0
2023-06-23 19:44:00	83833.0	83836.0	83833.0	83836.0	40.0	9592.0	18857.0	4490008.0
2023-06-23 19:45:00	83835.0	83836.0	83835.0	83836.0	95.0	9433.0	18741.0	4489956.0
2023-06-23 19:46:00	83834.0	83837.0	83834.0	83837.0	8.0	9433.0	18709.0	4489954.0
2023-06-23 19:47:00	83835.0	83839.0	83834.0	83834.0	20.0	9408.0	18774.0	4489944.0
2023-06-23 19:48:00	83834.0	83839.0	83834.0	83838.0	22.0	9410.0	18768.0	4489952.0
2023-06-23 19:49:00	83834.0	83838.0	83834.0	83838.0	8.0	9471.0	18777.0	4489950.0
2023-06-23 19:50:00	83839.0	83840.0	83838.0	83840.0	221.0	9309.0	18768.0	4489670.0
2023-06-23 19:51:00	83839.0	83840.0	83838.0	83838.0	26.0	9291.0	18770.0	4489654.0
2023-06-23 19:53:00	83838.0	83838.0	83832.0	83837.0	48.0	9475.0	18801.0	4489642.0
2023-06-23 19:54:00	83837.0	83840.0	83833.0	83837.0	52.0	9436.0	18809.0	4489610.0
2023-06-23 19:55:00	83837.0	83837.0	83833.0	83833.0	10.0	9454.0	18808.0	4489596.0
2023-06-23 19:56:00	83834.0	83840.0	83834.0	83835.0	44.0	9426.0	18815.0	4489540.0
2023-06-23 19:57:00	83840.0	83840.0	83838.0	83839.0	46.0	9424.0	19007.0	4489494.0
