datetime	open	high	low	close	volume	offer	ask	open_interest
2023-06-19 09:00:00	83840.0	84082.0	83840.0	84069.0	15366.0	11889.0	22480.0	3341502.0
2023-06-19 09:05:00	84070.0	84132.0	84038.0	84044.0	8715.0	13014.0	23128.0	3341634.0
2023-06-19 09:10:00	84043.0	84067.0	83932.0	83958.0	4098.0	13052.0	23375.0	3342676.0
2023-06-19 09:15:00	83958.0	84032.0	83940.0	83971.0	4743.0	12538.0	25804.0	3343858.0
2023-06-19 09:20:00	83975.0	83994.0	83876.0	83878.0	4893.0	12906.0	27742.0	3343658.0
2023-06-19 09:25:00	83877.0	83900.0	83858.0	83881.0	3927.0	14146.0	28560.0	3344480.0
2023-06-19 09:30:00	83880.0	83907.0	83803.0	83810.0	3976.0	14674.0	28295.0	3345268.0
2023-06-19 09:35:00	83810.0	83844.0	83766.0	83777.0	6187.0	15299.0	27329.0	3347388.0
2023-06-19 09:40:00	83775.0	83777.0	83680.0	83710.0	8558.0	15214.0	26956.0	3347784.0
2023-06-19 09:45:00	83708.0	83829.0	83650.0	83790.0	8368.0	15055.0	27734.0	3346816.0
2023-06-19 09:50:00	83791.0	83808.0	83723.0	83807.0	3201.0	15571.0	27753.0	3347632.0
2023-06-19 09:55:00	83806.0	83817.0	83800.0	83810.0	1683.0	15817.0	28089.0	3347942.0
2023-06-19 10:00:00	83807.0	83890.0	83683.0	83742.0	19568.0	16465.0	28171.0	3351202.0
2023-06-19 10:05:00	83743.0	83787.0	83666.0	83697.0	8764.0	16809.0	29255.0	3354166.0
2023-06-19 10:10:00	83697.0	83702.0	83530.0	83644.0	21928.0	17227.0	28165.0	3357656.0
2023-06-19 10:15:00	83644.0	83867.0	83611.0	83734.0	21875.0	17598.0	26593.0	3355176.0
2023-06-19 10:20:00	83735.0	83795.0	83711.0	83747.0	5401.0	18413.0	26928.0	3354862.0
2023-06-19 10:25:00	83749.0	83764.0	83600.0	83629.0	9600.0	18782.0	27070.0	3356268.0
2023-06-19 10:30:00	83630.0	83775.0	83582.0	83646.0	13983.0	19543.0	26549.0	3359632.0
2023-06-19 10:35:00	83640.0	83646.0	83481.0	83542.0	19440.0	20106.0	25637.0	3358732.0
2023-06-19 10:40:00	83543.0	83660.0	83525.0	83620.0	10378.0	22185.0	25005.0	3357458.0
2023-06-19 10:45:00	83620.0	83691.0	83606.0	83620.0	6482.0	22432.0	24768.0	3356666.0
2023-06-19 10:50:00	83612.0	83647.0	83550.0	83550.0	4878.0	22411.0	25095.0	3356780.0
2023-06-19 10:55:00	83553.0	83571.0	83392.0	83445.0	17720.0	24229.0	35053.0	3352848.0
2023-06-19 11:00:00	83445.0	83537.0	83413.0	83451.0	20908.0	25133.0	35882.0	3354132.0
2023-06-19 11:05:00	83453.0	83466.0	83378.0	83402.0	13420.0	25890.0	34447.0	3351004.0
