<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si,5,20220826,232000,60886.0000000,60895.0000000,60883.0000000,60886.0000000,279
SPFB.Si,5,20220826,232500,60892.0000000,60900.0000000,60880.0000000,60887.0000000,426
SPFB.Si,5,20220826,233000,60887.0000000,60890.0000000,60873.0000000,60881.0000000,594
SPFB.Si,5,20220826,233500,60880.0000000,60882.0000000,60800.0000000,60820.0000000,4210
SPFB.Si,5,20220826,234000,60822.0000000,60837.0000000,60800.0000000,60837.0000000,1006
SPFB.Si,5,20220826,234500,60837.0000000,60899.0000000,60836.0000000,60899.0000000,1217
SPFB.Si,5,20220826,235000,60896.0000000,60905.0000000,60883.0000000,60887.0000000,1714
SPFB.Si,5,20220829,100500,60903.0000000,61100.0000000,60860.0000000,60890.0000000,46076
SPFB.Si,5,20220829,101000,60890.0000000,61194.0000000,60880.0000000,61100.0000000,55161
SPFB.Si,5,20220829,101500,61103.0000000,61215.0000000,61080.0000000,61116.0000000,42321
SPFB.Si,5,20220829,102000,61118.0000000,61148.0000000,61020.0000000,61046.0000000,37790
SPFB.Si,5,20220829,102500,61046.0000000,61080.0000000,60957.0000000,61041.0000000,26490
SPFB.Si,5,20220829,103000,61041.0000000,61162.0000000,61015.0000000,61158.0000000,19511
SPFB.Si,5,20220829,103500,61156.0000000,61178.0000000,61051.0000000,61134.0000000,22176
SPFB.Si,5,20220829,104000,61135.0000000,61159.0000000,61095.0000000,61122.0000000,14899
SPFB.Si,5,20220829,104500,61121.0000000,61134.0000000,60970.0000000,61005.0000000,28451
SPFB.Si,5,20220829,105000,61005.0000000,61005.0000000,60818.0000000,60865.0000000,36484
SPFB.Si,5,20220829,105500,60865.0000000,60932.0000000,60839.0000000,60900.0000000,15766
SPFB.Si,5,20220829,110000,60899.0000000,60925.0000000,60837.0000000,60906.0000000,14083
SPFB.Si,5,20220829,110500,60907.0000000,61020.0000000,60872.0000000,60978.0000000,29650
SPFB.Si,5,20220829,111000,60980.0000000,60993.0000000,60860.0000000,60912.0000000,15151
SPFB.Si,5,20220829,111500,60912.0000000,60962.0000000,60720.0000000,60770.0000000,35468
SPFB.Si,5,20220829,112000,60769.0000000,60793.0000000,60707.0000000,60740.0000000,23450
SPFB.Si,5,20220829,112500,60740.0000000,60790.0000000,60678.0000000,60756.0000000,24320
SPFB.Si,5,20220829,113000,60754.0000000,60827.0000000,60724.0000000,60760.0000000,13518
SPFB.Si,5,20220829,113500,60760.0000000,60818.0000000,60660.0000000,60760.0000000,24678
SPFB.Si,5,20220829,114000,60758.0000000,60765.0000000,60655.0000000,60658.0000000,10186
SPFB.Si,5,20220829,114500,60660.0000000,60691.0000000,60600.0000000,60628.0000000,48832
SPFB.Si,5,20220829,115000,60628.0000000,60653.0000000,60569.0000000,60618.0000000,25796
SPFB.Si,5,20220829,115500,60614.0000000,60653.0000000,60560.0000000,60649.0000000,13055
SPFB.Si,5,20220829,120000,60648.0000000,60653.0000000,60576.0000000,60584.0000000,8909
SPFB.Si,5,20220829,120500,60584.0000000,60589.0000000,60525.0000000,60540.0000000,21215
SPFB.Si,5,20220829,121000,60536.0000000,60570.0000000,60525.0000000,60557.0000000,9582
SPFB.Si,5,20220829,121500,60557.0000000,60585.0000000,60538.0000000,60562.0000000,8751
SPFB.Si,5,20220829,122000,60562.0000000,60647.0000000,60551.0000000,60622.0000000,14398
SPFB.Si,5,20220829,122500,60622.0000000,60666.0000000,60612.0000000,60614.0000000,8120
SPFB.Si,5,20220829,123000,60614.0000000,60716.0000000,60611.0000000,60614.0000000,13641
SPFB.Si,5,20220829,123500,60616.0000000,60655.0000000,60602.0000000,60648.0000000,9336
SPFB.Si,5,20220829,124000,60648.0000000,60653.0000000,60604.0000000,60632.0000000,6822
SPFB.Si,5,20220829,124500,60630.0000000,60653.0000000,60611.0000000,60651.0000000,10139
SPFB.Si,5,20220829,125000,60651.0000000,60653.0000000,60635.0000000,60653.0000000,15863
SPFB.Si,5,20220829,125500,60649.0000000,60726.0000000,60648.0000000,60687.0000000,27235
SPFB.Si,5,20220829,130000,60687.0000000,60772.0000000,60687.0000000,60728.0000000,10498
SPFB.Si,5,20220829,130500,60727.0000000,60761.0000000,60684.0000000,60690.0000000,8615
SPFB.Si,5,20220829,131000,60692.0000000,60692.0000000,60615.0000000,60644.0000000,9204
SPFB.Si,5,20220829,131500,60645.0000000,60647.0000000,60561.0000000,60574.0000000,12145
SPFB.Si,5,20220829,132000,60574.0000000,60629.0000000,60539.0000000,60616.0000000,11342
SPFB.Si,5,20220829,132500,60615.0000000,60700.0000000,60596.0000000,60686.0000000,9331
SPFB.Si,5,20220829,133000,60686.0000000,60719.0000000,60678.0000000,60683.0000000,4651
SPFB.Si,5,20220829,133500,60684.0000000,60731.0000000,60673.0000000,60689.0000000,7069
SPFB.Si,5,20220829,134000,60684.0000000,60709.0000000,60653.0000000,60694.0000000,5523
SPFB.Si,5,20220829,134500,60694.0000000,60694.0000000,60624.0000000,60690.0000000,7147
SPFB.Si,5,20220829,135000,60691.0000000,60694.0000000,60666.0000000,60678.0000000,3299
SPFB.Si,5,20220829,135500,60678.0000000,60681.0000000,60590.0000000,60661.0000000,6657
SPFB.Si,5,20220829,140000,60660.0000000,60688.0000000,60637.0000000,60647.0000000,3643
SPFB.Si,5,20220829,141000,60647.0000000,60720.0000000,60647.0000000,60679.0000000,5905
SPFB.Si,5,20220829,141500,60680.0000000,60775.0000000,60670.0000000,60730.0000000,13593
SPFB.Si,5,20220829,142000,60731.0000000,60761.0000000,60685.0000000,60705.0000000,7774
SPFB.Si,5,20220829,142500,60700.0000000,60734.0000000,60658.0000000,60719.0000000,8923
SPFB.Si,5,20220829,143000,60718.0000000,60731.0000000,60706.0000000,60707.0000000,6540
SPFB.Si,5,20220829,143500,60707.0000000,60792.0000000,60700.0000000,60732.0000000,10754
SPFB.Si,5,20220829,144000,60732.0000000,60759.0000000,60711.0000000,60741.0000000,3722
SPFB.Si,5,20220829,144500,60745.0000000,60751.0000000,60660.0000000,60665.0000000,7733
SPFB.Si,5,20220829,145000,60664.0000000,60673.0000000,60606.0000000,60639.0000000,8619
SPFB.Si,5,20220829,145500,60639.0000000,60650.0000000,60558.0000000,60584.0000000,13186
SPFB.Si,5,20220829,150000,60580.0000000,60599.0000000,60562.0000000,60572.0000000,5103
SPFB.Si,5,20220829,150500,60572.0000000,60620.0000000,60543.0000000,60610.0000000,10709
SPFB.Si,5,20220829,151000,60609.0000000,60622.0000000,60560.0000000,60574.0000000,5586
SPFB.Si,5,20220829,151500,60572.0000000,60638.0000000,60505.0000000,60633.0000000,19940
SPFB.Si,5,20220829,152000,60633.0000000,60646.0000000,60611.0000000,60622.0000000,6651
SPFB.Si,5,20220829,152500,60624.0000000,60670.0000000,60578.0000000,60578.0000000,12577
SPFB.Si,5,20220829,153000,60577.0000000,60584.0000000,60520.0000000,60557.0000000,11387
SPFB.Si,5,20220829,153500,60558.0000000,60560.0000000,60450.0000000,60508.0000000,20346
SPFB.Si,5,20220829,154000,60505.0000000,60544.0000000,60474.0000000,60538.0000000,8004
SPFB.Si,5,20220829,154500,60537.0000000,60570.0000000,60475.0000000,60566.0000000,15957
SPFB.Si,5,20220829,155000,60565.0000000,60654.0000000,60557.0000000,60634.0000000,16841
SPFB.Si,5,20220829,155500,60637.0000000,60666.0000000,60595.0000000,60618.0000000,12605
SPFB.Si,5,20220829,160000,60618.0000000,60630.0000000,60580.0000000,60600.0000000,6145
SPFB.Si,5,20220829,160500,60603.0000000,60640.0000000,60565.0000000,60635.0000000,8061
SPFB.Si,5,20220829,161000,60636.0000000,60664.0000000,60620.0000000,60647.0000000,8567
SPFB.Si,5,20220829,161500,60645.0000000,60699.0000000,60600.0000000,60606.0000000,9452
SPFB.Si,5,20220829,162000,60604.0000000,60626.0000000,60571.0000000,60608.0000000,6040
SPFB.Si,5,20220829,162500,60604.0000000,60654.0000000,60588.0000000,60615.0000000,6186
SPFB.Si,5,20220829,163000,60613.0000000,60636.0000000,60590.0000000,60599.0000000,3267
SPFB.Si,5,20220829,163500,60598.0000000,60670.0000000,60562.0000000,60612.0000000,8240
SPFB.Si,5,20220829,164000,60612.0000000,60642.0000000,60596.0000000,60619.0000000,4554
SPFB.Si,5,20220829,164500,60614.0000000,60625.0000000,60587.0000000,60614.0000000,5522
SPFB.Si,5,20220829,165000,60614.0000000,60733.0000000,60608.0000000,60712.0000000,14210
SPFB.Si,5,20220829,165500,60712.0000000,60771.0000000,60681.0000000,60724.0000000,12680
SPFB.Si,5,20220829,170000,60725.0000000,60739.0000000,60706.0000000,60717.0000000,5210
SPFB.Si,5,20220829,170500,60715.0000000,60767.0000000,60686.0000000,60720.0000000,7013
SPFB.Si,5,20220829,171000,60720.0000000,60751.0000000,60704.0000000,60730.0000000,5168
SPFB.Si,5,20220829,171500,60730.0000000,60832.0000000,60695.0000000,60808.0000000,13895
SPFB.Si,5,20220829,172000,60807.0000000,60859.0000000,60807.0000000,60822.0000000,14221
SPFB.Si,5,20220829,172500,60822.0000000,60848.0000000,60810.0000000,60814.0000000,5470
SPFB.Si,5,20220829,173000,60814.0000000,60850.0000000,60813.0000000,60844.0000000,7828
SPFB.Si,5,20220829,173500,60841.0000000,60881.0000000,60703.0000000,60723.0000000,21335
SPFB.Si,5,20220829,174000,60722.0000000,60752.0000000,60625.0000000,60731.0000000,15171
SPFB.Si,5,20220829,174500,60731.0000000,60735.0000000,60652.0000000,60672.0000000,6771
SPFB.Si,5,20220829,175000,60671.0000000,60697.0000000,60635.0000000,60681.0000000,9007
SPFB.Si,5,20220829,175500,60682.0000000,60682.0000000,60618.0000000,60625.0000000,6495
SPFB.Si,5,20220829,180000,60625.0000000,60654.0000000,60616.0000000,60641.0000000,5979
SPFB.Si,5,20220829,180500,60641.0000000,60656.0000000,60586.0000000,60646.0000000,19219
SPFB.Si,5,20220829,181000,60646.0000000,60731.0000000,60611.0000000,60711.0000000,10443
SPFB.Si,5,20220829,181500,60714.0000000,60727.0000000,60680.0000000,60693.0000000,3166
SPFB.Si,5,20220829,182000,60692.0000000,60770.0000000,60692.0000000,60740.0000000,7259
SPFB.Si,5,20220829,182500,60741.0000000,60780.0000000,60709.0000000,60720.0000000,6959
SPFB.Si,5,20220829,183000,60722.0000000,60727.0000000,60627.0000000,60654.0000000,7051
SPFB.Si,5,20220829,183500,60656.0000000,60684.0000000,60649.0000000,60680.0000000,3336
SPFB.Si,5,20220829,184000,60675.0000000,60715.0000000,60668.0000000,60690.0000000,8172
SPFB.Si,5,20220829,184500,60690.0000000,60777.0000000,60671.0000000,60721.0000000,8931
SPFB.Si,5,20220829,185000,60720.0000000,60765.0000000,60716.0000000,60743.0000000,5137
SPFB.Si,5,20220829,193500,60724.0000000,60799.0000000,60724.0000000,60736.0000000,1603
SPFB.Si,5,20220829,194000,60737.0000000,60749.0000000,60672.0000000,60732.0000000,1814
SPFB.Si,5,20220829,194500,60734.0000000,60741.0000000,60719.0000000,60721.0000000,435
SPFB.Si,5,20220829,195000,60719.0000000,60730.0000000,60716.0000000,60718.0000000,531
SPFB.Si,5,20220829,195500,60718.0000000,60723.0000000,60688.0000000,60718.0000000,893
SPFB.Si,5,20220829,200000,60721.0000000,60727.0000000,60712.0000000,60720.0000000,247
SPFB.Si,5,20220829,200500,60720.0000000,60723.0000000,60700.0000000,60708.0000000,414
SPFB.Si,5,20220829,201000,60703.0000000,60708.0000000,60688.0000000,60708.0000000,427
SPFB.Si,5,20220829,201500,60709.0000000,60717.0000000,60703.0000000,60710.0000000,197
SPFB.Si,5,20220829,202000,60709.0000000,60720.0000000,60706.0000000,60720.0000000,236
SPFB.Si,5,20220829,202500,60720.0000000,60724.0000000,60718.0000000,60724.0000000,341
SPFB.Si,5,20220829,203000,60725.0000000,60730.0000000,60715.0000000,60728.0000000,331
SPFB.Si,5,20220829,203500,60727.0000000,60730.0000000,60707.0000000,60709.0000000,350
SPFB.Si,5,20220829,204000,60709.0000000,60726.0000000,60709.0000000,60710.0000000,253
SPFB.Si,5,20220829,204500,60710.0000000,60719.0000000,60708.0000000,60708.0000000,101
SPFB.Si,5,20220829,205000,60708.0000000,60710.0000000,60700.0000000,60702.0000000,415
SPFB.Si,5,20220829,205500,60701.0000000,60719.0000000,60701.0000000,60709.0000000,333
SPFB.Si,5,20220829,210000,60708.0000000,60709.0000000,60692.0000000,60703.0000000,522
SPFB.Si,5,20220829,210500,60697.0000000,60697.0000000,60614.0000000,60646.0000000,3755
SPFB.Si,5,20220829,211000,60643.0000000,60662.0000000,60620.0000000,60652.0000000,1128
SPFB.Si,5,20220829,211500,60649.0000000,60671.0000000,60645.0000000,60655.0000000,437
SPFB.Si,5,20220829,212000,60656.0000000,60665.0000000,60630.0000000,60648.0000000,513
SPFB.Si,5,20220829,212500,60648.0000000,60648.0000000,60620.0000000,60628.0000000,563
SPFB.Si,5,20220829,213000,60630.0000000,60643.0000000,60620.0000000,60636.0000000,687
SPFB.Si,5,20220829,213500,60633.0000000,60644.0000000,60623.0000000,60629.0000000,298
SPFB.Si,5,20220829,214000,60630.0000000,60636.0000000,60620.0000000,60631.0000000,395
SPFB.Si,5,20220829,214500,60627.0000000,60642.0000000,60625.0000000,60637.0000000,283
SPFB.Si,5,20220829,215000,60637.0000000,60662.0000000,60637.0000000,60648.0000000,531
SPFB.Si,5,20220829,215500,60644.0000000,60656.0000000,60634.0000000,60655.0000000,251
SPFB.Si,5,20220829,220000,60656.0000000,60661.0000000,60639.0000000,60660.0000000,504
SPFB.Si,5,20220829,220500,60660.0000000,60662.0000000,60648.0000000,60655.0000000,350
SPFB.Si,5,20220829,221000,60655.0000000,60665.0000000,60648.0000000,60664.0000000,270
SPFB.Si,5,20220829,221500,60665.0000000,60682.0000000,60665.0000000,60678.0000000,532
SPFB.Si,5,20220829,222000,60678.0000000,60688.0000000,60660.0000000,60662.0000000,661
SPFB.Si,5,20220829,222500,60662.0000000,60680.0000000,60660.0000000,60668.0000000,303
SPFB.Si,5,20220829,223000,60669.0000000,60677.0000000,60665.0000000,60665.0000000,364
SPFB.Si,5,20220829,223500,60666.0000000,60668.0000000,60664.0000000,60666.0000000,96
SPFB.Si,5,20220829,224000,60667.0000000,60691.0000000,60667.0000000,60678.0000000,393
SPFB.Si,5,20220829,224500,60678.0000000,60740.0000000,60678.0000000,60727.0000000,2461
SPFB.Si,5,20220829,225000,60726.0000000,60740.0000000,60719.0000000,60731.0000000,936
SPFB.Si,5,20220829,225500,60731.0000000,60737.0000000,60713.0000000,60720.0000000,458
SPFB.Si,5,20220829,230000,60720.0000000,60729.0000000,60718.0000000,60729.0000000,252
SPFB.Si,5,20220829,230500,60726.0000000,60730.0000000,60712.0000000,60718.0000000,345
SPFB.Si,5,20220829,231000,60719.0000000,60720.0000000,60711.0000000,60712.0000000,87
SPFB.Si,5,20220829,231500,60710.0000000,60711.0000000,60702.0000000,60702.0000000,190
SPFB.Si,5,20220829,232000,60703.0000000,60713.0000000,60701.0000000,60713.0000000,398
SPFB.Si,5,20220829,232500,60713.0000000,60730.0000000,60713.0000000,60728.0000000,369
SPFB.Si,5,20220829,233000,60724.0000000,60731.0000000,60712.0000000,60726.0000000,199
SPFB.Si,5,20220829,233500,60725.0000000,60741.0000000,60725.0000000,60735.0000000,644
SPFB.Si,5,20220829,234000,60732.0000000,60737.0000000,60721.0000000,60726.0000000,427
SPFB.Si,5,20220829,234500,60735.0000000,60735.0000000,60723.0000000,60723.0000000,285
SPFB.Si,5,20220829,235000,60724.0000000,60745.0000000,60719.0000000,60743.0000000,1491
SPFB.Si,5,20220830,100500,60746.0000000,60780.0000000,60646.0000000,60680.0000000,26932
SPFB.Si,5,20220830,101000,60678.0000000,60743.0000000,60605.0000000,60693.0000000,22503
SPFB.Si,5,20220830,101500,60692.0000000,60698.0000000,60545.0000000,60572.0000000,20088
SPFB.Si,5,20220830,102000,60572.0000000,60612.0000000,60523.0000000,60592.0000000,14301
SPFB.Si,5,20220830,102500,60594.0000000,60670.0000000,60559.0000000,60654.0000000,13682
SPFB.Si,5,20220830,103000,60653.0000000,60722.0000000,60636.0000000,60661.0000000,14231
SPFB.Si,5,20220830,103500,60661.0000000,60691.0000000,60641.0000000,60679.0000000,8873
SPFB.Si,5,20220830,104000,60676.0000000,60690.0000000,60612.0000000,60624.0000000,8961
SPFB.Si,5,20220830,104500,60625.0000000,60682.0000000,60587.0000000,60669.0000000,11429
SPFB.Si,5,20220830,105000,60669.0000000,60735.0000000,60660.0000000,60715.0000000,14489
SPFB.Si,5,20220830,105500,60716.0000000,60746.0000000,60701.0000000,60717.0000000,5829
SPFB.Si,5,20220830,110000,60719.0000000,60734.0000000,60665.0000000,60679.0000000,6568
SPFB.Si,5,20220830,110500,60679.0000000,60716.0000000,60664.0000000,60678.0000000,5942
SPFB.Si,5,20220830,111000,60675.0000000,60680.0000000,60630.0000000,60637.0000000,6245
SPFB.Si,5,20220830,111500,60633.0000000,60665.0000000,60627.0000000,60655.0000000,4578
SPFB.Si,5,20220830,112000,60655.0000000,60689.0000000,60639.0000000,60640.0000000,7066
SPFB.Si,5,20220830,112500,60641.0000000,60824.0000000,60641.0000000,60784.0000000,28014
SPFB.Si,5,20220830,113000,60783.0000000,60831.0000000,60783.0000000,60825.0000000,15362
SPFB.Si,5,20220830,113500,60825.0000000,60837.0000000,60800.0000000,60806.0000000,16695
SPFB.Si,5,20220830,114000,60806.0000000,60829.0000000,60801.0000000,60811.0000000,10397
SPFB.Si,5,20220830,114500,60811.0000000,60815.0000000,60791.0000000,60793.0000000,7543
SPFB.Si,5,20220830,115000,60793.0000000,60834.0000000,60776.0000000,60826.0000000,8859
SPFB.Si,5,20220830,115500,60825.0000000,60873.0000000,60814.0000000,60814.0000000,21287
SPFB.Si,5,20220830,120000,60815.0000000,60826.0000000,60803.0000000,60806.0000000,5940
SPFB.Si,5,20220830,120500,60806.0000000,60850.0000000,60780.0000000,60790.0000000,10918
SPFB.Si,5,20220830,121000,60793.0000000,60797.0000000,60753.0000000,60777.0000000,10064
SPFB.Si,5,20220830,121500,60778.0000000,60812.0000000,60757.0000000,60758.0000000,10047
SPFB.Si,5,20220830,122000,60760.0000000,60803.0000000,60742.0000000,60803.0000000,6927
SPFB.Si,5,20220830,122500,60803.0000000,60869.0000000,60773.0000000,60806.0000000,21278
SPFB.Si,5,20220830,123000,60804.0000000,60820.0000000,60775.0000000,60816.0000000,5342
SPFB.Si,5,20220830,123500,60818.0000000,60859.0000000,60818.0000000,60824.0000000,8547
SPFB.Si,5,20220830,124000,60825.0000000,60847.0000000,60825.0000000,60841.0000000,3959
SPFB.Si,5,20220830,124500,60842.0000000,60891.0000000,60789.0000000,60839.0000000,20512
SPFB.Si,5,20220830,125000,60838.0000000,60900.0000000,60826.0000000,60889.0000000,15427
SPFB.Si,5,20220830,125500,60891.0000000,60937.0000000,60874.0000000,60928.0000000,17905
SPFB.Si,5,20220830,130000,60929.0000000,60940.0000000,60892.0000000,60909.0000000,11923
SPFB.Si,5,20220830,130500,60910.0000000,60950.0000000,60862.0000000,60899.0000000,25121
SPFB.Si,5,20220830,131000,60899.0000000,60933.0000000,60892.0000000,60916.0000000,13142
SPFB.Si,5,20220830,131500,60919.0000000,60948.0000000,60899.0000000,60937.0000000,7533
SPFB.Si,5,20220830,132000,60937.0000000,60976.0000000,60894.0000000,60968.0000000,14822
SPFB.Si,5,20220830,132500,60970.0000000,60986.0000000,60944.0000000,60984.0000000,9198
SPFB.Si,5,20220830,133000,60984.0000000,60990.0000000,60961.0000000,60969.0000000,7421
SPFB.Si,5,20220830,133500,60967.0000000,60984.0000000,60954.0000000,60979.0000000,4424
SPFB.Si,5,20220830,134000,60980.0000000,60993.0000000,60977.0000000,60985.0000000,3222
SPFB.Si,5,20220830,134500,60985.0000000,61028.0000000,60977.0000000,60981.0000000,15380
SPFB.Si,5,20220830,135000,60982.0000000,61050.0000000,60980.0000000,61039.0000000,12745
SPFB.Si,5,20220830,135500,61040.0000000,61049.0000000,60982.0000000,61012.0000000,7895
SPFB.Si,5,20220830,140000,61012.0000000,61069.0000000,61012.0000000,61037.0000000,13423
SPFB.Si,5,20220830,141000,61036.0000000,61072.0000000,60987.0000000,61009.0000000,20988
SPFB.Si,5,20220830,141500,61009.0000000,61089.0000000,60986.0000000,61047.0000000,11664
SPFB.Si,5,20220830,142000,61046.0000000,61085.0000000,61022.0000000,61065.0000000,8549
SPFB.Si,5,20220830,142500,61066.0000000,61087.0000000,60965.0000000,60987.0000000,11395
SPFB.Si,5,20220830,143000,60988.0000000,61021.0000000,60942.0000000,60972.0000000,11542
SPFB.Si,5,20220830,143500,60973.0000000,60997.0000000,60948.0000000,60976.0000000,5393
SPFB.Si,5,20220830,144000,60976.0000000,60996.0000000,60952.0000000,60978.0000000,3818
SPFB.Si,5,20220830,144500,60977.0000000,61000.0000000,60960.0000000,60960.0000000,4095
SPFB.Si,5,20220830,145000,60960.0000000,60987.0000000,60915.0000000,60938.0000000,7639
SPFB.Si,5,20220830,145500,60937.0000000,61019.0000000,60925.0000000,61016.0000000,8309
SPFB.Si,5,20220830,150000,61015.0000000,61039.0000000,60976.0000000,60981.0000000,8580
SPFB.Si,5,20220830,150500,60988.0000000,61054.0000000,60981.0000000,60985.0000000,11811
SPFB.Si,5,20220830,151000,60986.0000000,61054.0000000,60981.0000000,61037.0000000,5054
SPFB.Si,5,20220830,151500,61033.0000000,61072.0000000,61003.0000000,61043.0000000,6604
SPFB.Si,5,20220830,152000,61045.0000000,61064.0000000,61007.0000000,61042.0000000,2719
SPFB.Si,5,20220830,152500,61043.0000000,61134.0000000,61012.0000000,61108.0000000,14252
SPFB.Si,5,20220830,153000,61108.0000000,61114.0000000,61055.0000000,61098.0000000,7104
SPFB.Si,5,20220830,153500,61098.0000000,61187.0000000,61063.0000000,61159.0000000,22450
SPFB.Si,5,20220830,154000,61158.0000000,61192.0000000,61134.0000000,61157.0000000,18380
SPFB.Si,5,20220830,154500,61155.0000000,61190.0000000,61109.0000000,61131.0000000,21560
SPFB.Si,5,20220830,155000,61131.0000000,61153.0000000,61100.0000000,61147.0000000,14144
SPFB.Si,5,20220830,155500,61146.0000000,61166.0000000,61057.0000000,61140.0000000,15321
SPFB.Si,5,20220830,160000,61140.0000000,61235.0000000,61112.0000000,61172.0000000,33458
