<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si,15,20200115,101500,61905.0000000,61944.0000000,61850.0000000,61889.0000000,74010
SPFB.Si,15,20200115,103000,61886.0000000,61936.0000000,61845.0000000,61933.0000000,43259
SPFB.Si,15,20200115,104500,61933.0000000,61969.0000000,61891.0000000,61903.0000000,35899
SPFB.Si,15,20200115,110000,61901.0000000,61909.0000000,61884.0000000,61886.0000000,18021
SPFB.Si,15,20200115,111500,61886.0000000,61930.0000000,61868.0000000,61929.0000000,39068
SPFB.Si,15,20200115,113000,61929.0000000,61948.0000000,61904.0000000,61909.0000000,28899
SPFB.Si,15,20200115,114500,61911.0000000,61926.0000000,61897.0000000,61902.0000000,22342
SPFB.Si,15,20200115,120000,61902.0000000,61943.0000000,61896.0000000,61923.0000000,13481
SPFB.Si,15,20200115,121500,61927.0000000,61966.0000000,61909.0000000,61912.0000000,30489
SPFB.Si,15,20200115,123000,61911.0000000,61937.0000000,61904.0000000,61928.0000000,16074
SPFB.Si,15,20200115,124500,61926.0000000,61978.0000000,61925.0000000,61949.0000000,29562
SPFB.Si,15,20200115,130000,61949.0000000,62072.0000000,61930.0000000,62055.0000000,111027
SPFB.Si,15,20200115,131500,62053.0000000,62080.0000000,62022.0000000,62031.0000000,57433
SPFB.Si,15,20200115,133000,62031.0000000,62082.0000000,62014.0000000,62065.0000000,32805
SPFB.Si,15,20200115,134500,62065.0000000,62084.0000000,62037.0000000,62076.0000000,31814
SPFB.Si,15,20200115,140000,62079.0000000,62082.0000000,62006.0000000,62010.0000000,44306
SPFB.Si,15,20200115,141500,62015.0000000,62038.0000000,61976.0000000,61993.0000000,31563
SPFB.Si,15,20200115,143000,61992.0000000,62004.0000000,61963.0000000,61980.0000000,33199
SPFB.Si,15,20200115,144500,61980.0000000,61990.0000000,61948.0000000,61989.0000000,26776
SPFB.Si,15,20200115,150000,61989.0000000,62007.0000000,61909.0000000,61915.0000000,43295
SPFB.Si,15,20200115,151500,61914.0000000,61915.0000000,61815.0000000,61836.0000000,137271
SPFB.Si,15,20200115,153000,61835.0000000,61874.0000000,61808.0000000,61865.0000000,56224
SPFB.Si,15,20200115,154500,61866.0000000,61898.0000000,61845.0000000,61847.0000000,30376
SPFB.Si,15,20200115,160000,61847.0000000,61857.0000000,61802.0000000,61846.0000000,50928
SPFB.Si,15,20200115,161500,61844.0000000,61891.0000000,61814.0000000,61884.0000000,42808
SPFB.Si,15,20200115,163000,61883.0000000,62250.0000000,61871.0000000,62192.0000000,141490
SPFB.Si,15,20200115,164500,62188.0000000,62280.0000000,61976.0000000,62087.0000000,362837
SPFB.Si,15,20200115,170000,62090.0000000,62138.0000000,62026.0000000,62123.0000000,105339
SPFB.Si,15,20200115,171500,62121.0000000,62179.0000000,62015.0000000,62026.0000000,86381
SPFB.Si,15,20200115,173000,62025.0000000,62058.0000000,61917.0000000,61941.0000000,113432
SPFB.Si,15,20200115,174500,61939.0000000,61956.0000000,61826.0000000,61887.0000000,153448
SPFB.Si,15,20200115,180000,61888.0000000,61920.0000000,61838.0000000,61915.0000000,47718
SPFB.Si,15,20200115,181500,61914.0000000,61959.0000000,61885.0000000,61954.0000000,46891
SPFB.Si,15,20200115,183000,61953.0000000,62059.0000000,61944.0000000,62021.0000000,61101
SPFB.Si,15,20200115,184500,62021.0000000,62060.0000000,62001.0000000,62020.0000000,50714
SPFB.Si,15,20200115,191500,62038.0000000,62065.0000000,61980.0000000,62024.0000000,25354
SPFB.Si,15,20200115,193000,62026.0000000,62030.0000000,61971.0000000,62014.0000000,25636
SPFB.Si,15,20200115,194500,62015.0000000,62020.0000000,61913.0000000,61940.0000000,25007
SPFB.Si,15,20200115,200000,61940.0000000,61960.0000000,61907.0000000,61937.0000000,15579
SPFB.Si,15,20200115,201500,61935.0000000,61949.0000000,61852.0000000,61902.0000000,26770
SPFB.Si,15,20200115,203000,61901.0000000,61929.0000000,61865.0000000,61878.0000000,32407
SPFB.Si,15,20200115,204500,61880.0000000,61920.0000000,61871.0000000,61917.0000000,8838
SPFB.Si,15,20200115,210000,61915.0000000,61957.0000000,61907.0000000,61952.0000000,10180
SPFB.Si,15,20200115,211500,61953.0000000,61955.0000000,61910.0000000,61950.0000000,13006
SPFB.Si,15,20200115,213000,61949.0000000,61953.0000000,61905.0000000,61925.0000000,12058
SPFB.Si,15,20200115,214500,61926.0000000,61948.0000000,61911.0000000,61914.0000000,7176
SPFB.Si,15,20200115,220000,61916.0000000,61935.0000000,61904.0000000,61922.0000000,5828
SPFB.Si,15,20200115,221500,61922.0000000,61928.0000000,61902.0000000,61904.0000000,5016
SPFB.Si,15,20200115,223000,61904.0000000,61926.0000000,61894.0000000,61912.0000000,5043
SPFB.Si,15,20200115,224500,61913.0000000,61913.0000000,61878.0000000,61885.0000000,6624
SPFB.Si,15,20200115,230000,61884.0000000,61901.0000000,61875.0000000,61896.0000000,4075
SPFB.Si,15,20200115,231500,61896.0000000,61917.0000000,61894.0000000,61909.0000000,3663
SPFB.Si,15,20200115,233000,61909.0000000,61926.0000000,61882.0000000,61883.0000000,7368
SPFB.Si,15,20200115,234500,61885.0000000,61919.0000000,61872.0000000,61915.0000000,5637
SPFB.Si,15,20200116,000000,61914.0000000,61916.0000000,61877.0000000,61877.0000000,3839
SPFB.Si,15,20200116,101500,61877.0000000,61975.0000000,61834.0000000,61954.0000000,96978
SPFB.Si,15,20200116,103000,61953.0000000,61999.0000000,61923.0000000,61969.0000000,40296
SPFB.Si,15,20200116,104500,61966.0000000,62003.0000000,61960.0000000,61996.0000000,22730
SPFB.Si,15,20200116,110000,61996.0000000,62009.0000000,61969.0000000,62004.0000000,34087
SPFB.Si,15,20200116,111500,62002.0000000,62073.0000000,61992.0000000,62070.0000000,73624
SPFB.Si,15,20200116,113000,62070.0000000,62144.0000000,62065.0000000,62076.0000000,82705
SPFB.Si,15,20200116,114500,62080.0000000,62084.0000000,62027.0000000,62066.0000000,58835
SPFB.Si,15,20200116,120000,62066.0000000,62083.0000000,62020.0000000,62076.0000000,30114
SPFB.Si,15,20200116,121500,62076.0000000,62086.0000000,62054.0000000,62054.0000000,19244
SPFB.Si,15,20200116,123000,62056.0000000,62110.0000000,62039.0000000,62089.0000000,26199
SPFB.Si,15,20200116,124500,62088.0000000,62094.0000000,62030.0000000,62043.0000000,23142
SPFB.Si,15,20200116,130000,62045.0000000,62090.0000000,62042.0000000,62085.0000000,20840
SPFB.Si,15,20200116,131500,62085.0000000,62138.0000000,62083.0000000,62103.0000000,34105
SPFB.Si,15,20200116,133000,62104.0000000,62159.0000000,62082.0000000,62149.0000000,75097
SPFB.Si,15,20200116,134500,62149.0000000,62200.0000000,62136.0000000,62178.0000000,60913
SPFB.Si,15,20200116,140000,62178.0000000,62194.0000000,62135.0000000,62156.0000000,41971
SPFB.Si,15,20200116,141500,62155.0000000,62167.0000000,62110.0000000,62133.0000000,43160
SPFB.Si,15,20200116,143000,62130.0000000,62140.0000000,62104.0000000,62128.0000000,15733
SPFB.Si,15,20200116,144500,62130.0000000,62153.0000000,62122.0000000,62149.0000000,22957
SPFB.Si,15,20200116,150000,62146.0000000,62238.0000000,62141.0000000,62210.0000000,45168
SPFB.Si,15,20200116,151500,62210.0000000,62216.0000000,62185.0000000,62201.0000000,24170
SPFB.Si,15,20200116,153000,62199.0000000,62204.0000000,62143.0000000,62171.0000000,41150
SPFB.Si,15,20200116,154500,62171.0000000,62173.0000000,62063.0000000,62072.0000000,44648
SPFB.Si,15,20200116,160000,62072.0000000,62110.0000000,62058.0000000,62101.0000000,27852
SPFB.Si,15,20200116,161500,62105.0000000,62118.0000000,62040.0000000,62071.0000000,40651
SPFB.Si,15,20200116,163000,62071.0000000,62094.0000000,61960.0000000,62007.0000000,63642
SPFB.Si,15,20200116,164500,62006.0000000,62067.0000000,61976.0000000,62041.0000000,45035
SPFB.Si,15,20200116,170000,62045.0000000,62098.0000000,62028.0000000,62093.0000000,27335
SPFB.Si,15,20200116,171500,62091.0000000,62142.0000000,62089.0000000,62115.0000000,23158
SPFB.Si,15,20200116,173000,62117.0000000,62122.0000000,62097.0000000,62112.0000000,15146
SPFB.Si,15,20200116,174500,62114.0000000,62157.0000000,62112.0000000,62119.0000000,29124
SPFB.Si,15,20200116,180000,62118.0000000,62143.0000000,62100.0000000,62107.0000000,25464
SPFB.Si,15,20200116,181500,62102.0000000,62119.0000000,62083.0000000,62101.0000000,32927
SPFB.Si,15,20200116,183000,62100.0000000,62114.0000000,62085.0000000,62099.0000000,26805
SPFB.Si,15,20200116,184500,62100.0000000,62130.0000000,62082.0000000,62122.0000000,17891
SPFB.Si,15,20200116,191500,62116.0000000,62152.0000000,62113.0000000,62119.0000000,14471
SPFB.Si,15,20200116,193000,62119.0000000,62131.0000000,62102.0000000,62109.0000000,10457
SPFB.Si,15,20200116,194500,62110.0000000,62125.0000000,62096.0000000,62108.0000000,6830
SPFB.Si,15,20200116,200000,62107.0000000,62120.0000000,62070.0000000,62090.0000000,9058
SPFB.Si,15,20200116,201500,62094.0000000,62100.0000000,62079.0000000,62093.0000000,4190
SPFB.Si,15,20200116,203000,62094.0000000,62103.0000000,62084.0000000,62085.0000000,4233
SPFB.Si,15,20200116,204500,62087.0000000,62102.0000000,62083.0000000,62098.0000000,1536
SPFB.Si,15,20200116,210000,62098.0000000,62104.0000000,62091.0000000,62100.0000000,1702
SPFB.Si,15,20200116,211500,62100.0000000,62122.0000000,62097.0000000,62118.0000000,3152
SPFB.Si,15,20200116,213000,62119.0000000,62135.0000000,62116.0000000,62129.0000000,4024
SPFB.Si,15,20200116,214500,62127.0000000,62131.0000000,62123.0000000,62123.0000000,2506
SPFB.Si,15,20200116,220000,62124.0000000,62139.0000000,62123.0000000,62138.0000000,2456
SPFB.Si,15,20200116,221500,62137.0000000,62144.0000000,62135.0000000,62137.0000000,3530
SPFB.Si,15,20200116,223000,62137.0000000,62149.0000000,62136.0000000,62145.0000000,3670
SPFB.Si,15,20200116,224500,62147.0000000,62151.0000000,62140.0000000,62148.0000000,3639
SPFB.Si,15,20200116,230000,62149.0000000,62150.0000000,62136.0000000,62141.0000000,2017
SPFB.Si,15,20200116,231500,62143.0000000,62144.0000000,62126.0000000,62131.0000000,3287
SPFB.Si,15,20200116,233000,62130.0000000,62132.0000000,62078.0000000,62089.0000000,11187
SPFB.Si,15,20200116,234500,62092.0000000,62114.0000000,62085.0000000,62109.0000000,6628
SPFB.Si,15,20200117,000000,62107.0000000,62110.0000000,62100.0000000,62110.0000000,3336
SPFB.Si,15,20200117,101500,62101.0000000,62124.0000000,62012.0000000,62026.0000000,67819
SPFB.Si,15,20200117,103000,62027.0000000,62028.0000000,61945.0000000,61950.0000000,82096
SPFB.Si,15,20200117,104500,61950.0000000,61965.0000000,61932.0000000,61944.0000000,68382
SPFB.Si,15,20200117,110000,61943.0000000,61953.0000000,61879.0000000,61893.0000000,96053
SPFB.Si,15,20200117,111500,61893.0000000,61933.0000000,61880.0000000,61892.0000000,71350
SPFB.Si,15,20200117,113000,61892.0000000,61914.0000000,61880.0000000,61887.0000000,35667
