<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si,5,20230208,183500,72525.0000000,72584.0000000,72514.0000000,72539.0000000,3907
SPFB.Si,5,20230208,184000,72539.0000000,72639.0000000,72513.0000000,72624.0000000,5388
SPFB.Si,5,20230208,184500,72624.0000000,72639.0000000,72560.0000000,72620.0000000,2986
SPFB.Si,5,20230208,185000,72620.0000000,72670.0000000,72580.0000000,72637.0000000,4251
SPFB.Si,5,20230208,191000,72681.0000000,72778.0000000,72615.0000000,72617.0000000,6290
SPFB.Si,5,20230208,191500,72617.0000000,72650.0000000,72564.0000000,72640.0000000,2975
SPFB.Si,5,20230208,192000,72636.0000000,72640.0000000,72569.0000000,72593.0000000,1526
SPFB.Si,5,20230208,192500,72593.0000000,72640.0000000,72593.0000000,72637.0000000,820
SPFB.Si,5,20230208,193000,72636.0000000,72643.0000000,72573.0000000,72622.0000000,858
SPFB.Si,5,20230208,193500,72622.0000000,72624.0000000,72589.0000000,72616.0000000,670
SPFB.Si,5,20230208,194000,72615.0000000,72694.0000000,72609.0000000,72655.0000000,2225
SPFB.Si,5,20230208,194500,72657.0000000,72687.0000000,72653.0000000,72677.0000000,886
SPFB.Si,5,20230208,195000,72677.0000000,72696.0000000,72632.0000000,72636.0000000,1157
SPFB.Si,5,20230208,195500,72635.0000000,72637.0000000,72593.0000000,72600.0000000,1583
SPFB.Si,5,20230208,200000,72599.0000000,72645.0000000,72592.0000000,72600.0000000,1182
SPFB.Si,5,20230208,200500,72602.0000000,72613.0000000,72595.0000000,72605.0000000,664
SPFB.Si,5,20230208,201000,72600.0000000,72610.0000000,72598.0000000,72606.0000000,379
SPFB.Si,5,20230208,201500,72606.0000000,72610.0000000,72580.0000000,72587.0000000,593
SPFB.Si,5,20230208,202000,72587.0000000,72587.0000000,72535.0000000,72565.0000000,2630
SPFB.Si,5,20230208,202500,72566.0000000,72606.0000000,72552.0000000,72595.0000000,1017
SPFB.Si,5,20230208,203000,72595.0000000,72627.0000000,72595.0000000,72626.0000000,1240
SPFB.Si,5,20230208,203500,72625.0000000,72690.0000000,72613.0000000,72687.0000000,2001
SPFB.Si,5,20230208,204000,72686.0000000,72720.0000000,72646.0000000,72664.0000000,5387
SPFB.Si,5,20230208,204500,72659.0000000,72690.0000000,72658.0000000,72683.0000000,578
SPFB.Si,5,20230208,205000,72681.0000000,72700.0000000,72677.0000000,72697.0000000,342
SPFB.Si,5,20230208,205500,72696.0000000,72697.0000000,72672.0000000,72672.0000000,367
SPFB.Si,5,20230208,210000,72672.0000000,72673.0000000,72633.0000000,72660.0000000,738
SPFB.Si,5,20230208,210500,72661.0000000,72691.0000000,72634.0000000,72656.0000000,437
SPFB.Si,5,20230208,211000,72657.0000000,72683.0000000,72650.0000000,72671.0000000,282
SPFB.Si,5,20230208,211500,72669.0000000,72710.0000000,72661.0000000,72699.0000000,836
SPFB.Si,5,20230208,212000,72700.0000000,72709.0000000,72657.0000000,72671.0000000,748
SPFB.Si,5,20230208,212500,72675.0000000,72677.0000000,72650.0000000,72677.0000000,536
SPFB.Si,5,20230208,213000,72677.0000000,72700.0000000,72677.0000000,72688.0000000,384
SPFB.Si,5,20230208,213500,72691.0000000,72726.0000000,72691.0000000,72697.0000000,1097
SPFB.Si,5,20230208,214000,72705.0000000,72717.0000000,72692.0000000,72702.0000000,264
SPFB.Si,5,20230208,214500,72702.0000000,72714.0000000,72688.0000000,72700.0000000,483
SPFB.Si,5,20230208,215000,72703.0000000,72724.0000000,72700.0000000,72722.0000000,937
SPFB.Si,5,20230208,215500,72720.0000000,72730.0000000,72702.0000000,72706.0000000,922
SPFB.Si,5,20230208,220000,72706.0000000,72723.0000000,72704.0000000,72704.0000000,357
SPFB.Si,5,20230208,220500,72705.0000000,72718.0000000,72701.0000000,72710.0000000,279
SPFB.Si,5,20230208,221000,72712.0000000,72715.0000000,72704.0000000,72710.0000000,289
SPFB.Si,5,20230208,221500,72708.0000000,72712.0000000,72704.0000000,72709.0000000,231
SPFB.Si,5,20230208,222000,72706.0000000,72723.0000000,72706.0000000,72722.0000000,628
SPFB.Si,5,20230208,222500,72722.0000000,72731.0000000,72706.0000000,72730.0000000,1077
SPFB.Si,5,20230208,223000,72730.0000000,72749.0000000,72711.0000000,72749.0000000,1785
SPFB.Si,5,20230208,223500,72749.0000000,72749.0000000,72720.0000000,72720.0000000,714
SPFB.Si,5,20230208,224000,72721.0000000,72750.0000000,72714.0000000,72744.0000000,834
SPFB.Si,5,20230208,224500,72744.0000000,72770.0000000,72743.0000000,72758.0000000,1114
SPFB.Si,5,20230208,225000,72758.0000000,72759.0000000,72747.0000000,72753.0000000,378
SPFB.Si,5,20230208,225500,72753.0000000,72753.0000000,72735.0000000,72740.0000000,267
SPFB.Si,5,20230208,230000,72739.0000000,72739.0000000,72709.0000000,72717.0000000,620
SPFB.Si,5,20230208,230500,72717.0000000,72732.0000000,72712.0000000,72724.0000000,446
SPFB.Si,5,20230208,231000,72724.0000000,72732.0000000,72707.0000000,72726.0000000,545
SPFB.Si,5,20230208,231500,72725.0000000,72726.0000000,72702.0000000,72702.0000000,574
SPFB.Si,5,20230208,232000,72702.0000000,72711.0000000,72701.0000000,72709.0000000,300
SPFB.Si,5,20230208,232500,72709.0000000,72718.0000000,72705.0000000,72717.0000000,452
SPFB.Si,5,20230208,233000,72718.0000000,72748.0000000,72710.0000000,72730.0000000,669
SPFB.Si,5,20230208,233500,72735.0000000,72750.0000000,72718.0000000,72742.0000000,606
SPFB.Si,5,20230208,234000,72736.0000000,72759.0000000,72736.0000000,72753.0000000,377
SPFB.Si,5,20230208,234500,72753.0000000,72759.0000000,72731.0000000,72759.0000000,688
SPFB.Si,5,20230208,235000,72758.0000000,72770.0000000,72750.0000000,72750.0000000,1420
SPFB.Si,5,20230209,090500,72770.0000000,73260.0000000,72770.0000000,73098.0000000,42220
SPFB.Si,5,20230209,091000,73098.0000000,73220.0000000,73080.0000000,73173.0000000,12886
SPFB.Si,5,20230209,091500,73177.0000000,73389.0000000,73147.0000000,73383.0000000,13989
SPFB.Si,5,20230209,092000,73381.0000000,73473.0000000,73342.0000000,73413.0000000,15319
SPFB.Si,5,20230209,092500,73409.0000000,73419.0000000,73280.0000000,73353.0000000,11447
SPFB.Si,5,20230209,093000,73353.0000000,73360.0000000,73275.0000000,73307.0000000,6034
SPFB.Si,5,20230209,093500,73306.0000000,73399.0000000,73276.0000000,73349.0000000,5697
SPFB.Si,5,20230209,094000,73347.0000000,73485.0000000,73282.0000000,73296.0000000,14496
SPFB.Si,5,20230209,094500,73295.0000000,73338.0000000,73283.0000000,73291.0000000,4114
SPFB.Si,5,20230209,095000,73292.0000000,73349.0000000,73229.0000000,73309.0000000,12066
SPFB.Si,5,20230209,095500,73311.0000000,73359.0000000,73303.0000000,73337.0000000,3860
SPFB.Si,5,20230209,100000,73338.0000000,73379.0000000,73313.0000000,73319.0000000,6607
SPFB.Si,5,20230209,100500,73315.0000000,73339.0000000,73069.0000000,73330.0000000,28269
SPFB.Si,5,20230209,101000,73329.0000000,73474.0000000,73241.0000000,73428.0000000,26734
SPFB.Si,5,20230209,101500,73428.0000000,73437.0000000,73347.0000000,73407.0000000,14526
SPFB.Si,5,20230209,102000,73407.0000000,73469.0000000,73388.0000000,73443.0000000,15182
SPFB.Si,5,20230209,102500,73442.0000000,73450.0000000,73314.0000000,73397.0000000,14798
